,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId
37,0.5,11,1,0.875,2,11,11,7,1,14,19,1,0.875,0.125,0.125,1,118,23,False,s,14JG23
38,0.25,1,1,0.75,3,11,11,5,7,11,4,3,,0.25,,0,119,23,False,n,14JG23
39,0.5,10,1,0.75,1,15,9,6,7,11,4,3,0.75,0.25,0.25,2,120,23,False,n,14JG23
40,0.25,3,3,0.25,7,21,1,4,15,15,12,3,,0.375,,0,0,1,False,e,1MQ2201
41,0.625,5,5,0.25,5,20,2,5,15,15,12,3,0.25,0.375,0.375,1,1,1,False,e,1MQ2201
42,0.5,1,1,0.375,3,21,1,6,12,20,14,2,,0.5,,0,2,1,False,c,1MQ2201
43,0.875,4,4,0.375,4,21,5,5,12,20,14,2,0.375,0.5,0.5,2,3,1,False,c,1MQ2201
44,0.5,2,2,0.125,4,21,3,5,1,20,20,1,0.125,0.25,0.25,3,4,1,False,s,1MQ2201
45,0.5,1,1,0.25,21,1,1,1,1,20,3,4,,0.125,,0,5,1,False,n,1MQ2201
46,0.5,5,7,0.25,4,17,5,7,1,20,3,4,0.25,0.125,0.125,4,6,1,False,n,1MQ2201
47,0.75,12,11,0.25,13,6,9,11,17,1,4,4,,0.5,,0,7,3,False,e,2ML3603
48,0.375,13,1,0.25,13,1,6,5,17,1,4,4,0.25,0.5,0.5,1,8,3,False,e,2ML3603
49,0.75,1,1,0.375,1,1,2,3,14,4,4,2,,0.125,,0,11,3,False,c,2ML3603
50,0.625,1,1,0.375,2,2,1,2,14,4,4,2,0.375,0.125,0.125,2,12,3,False,c,2ML3603
51,0.625,8,2,0.0,5,5,5,2,6,8,12,1,0.0,0.25,0.25,3,10,3,False,s,2ML3603
52,1.0,1,1,0.0,1,2,1,1,6,8,12,1,,0.25,,0,9,3,False,s,2ML3603
53,0.5,1,1,0.25,1,1,2,1,1,20,9,3,,0.375,,0,13,3,False,n,2ML3603
54,0.5,5,1,0.25,3,4,6,4,1,20,9,3,0.25,0.375,0.375,4,14,3,False,n,2ML3603
55,0.25,8,4,0.75,1,13,12,1,11,13,15,2,,0.25,,0,68,2,False,e,8FC02
56,0.75,7,1,0.75,1,5,13,1,11,13,15,2,0.75,0.25,0.25,1,69,2,False,e,8FC02
57,0.5,5,6,0.5,1,5,7,1,13,19,5,4,,0.125,,0,70,2,False,c,8FC02
58,0.875,6,4,0.5,1,6,9,8,13,19,5,4,0.5,0.125,0.125,2,71,2,False,c,8FC02
59,0.5,11,11,0.375,11,11,11,11,1,20,14,1,,0.375,,0,74,2,False,s,8FC02
