,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
65,1292,1,0,1,0,41560,1296,7197,33067,6666.89984001,0,56,5,False,c,5MS3205
66,7164,1,0,0,1,396187,0,47678,348509,5150.12575753,2,57,5,False,c,5MS3205
67,2729,1,0,1,0,-1466694259115,128,-1466694261459,2216,4174.01090821,0,58,5,False,s,5MS3205
68,48078,1,0,0,1,-1466693909085,-1466694293026,294312,89629,23609.4667728,3,59,5,False,s,5MS3205
69,2174,1,0,0,1,-1466692671950,0,1308,-1466692673258,1943.29726632,0,54,5,False,n,5MS3205
70,8122,0,0,0,0,371639,0,7700,363939,4234.63789242,4,55,5,False,n,5MS3205
71,737,1,0,0,1,117707,0,3228,114479,3166.02801094,0,76,4,False,e,9FH04
72,11139,1,0,0,1,256361,0,18308,238053,17820.7567348,1,77,4,False,e,9FH04
73,1445,1,0,0,1,56807,0,3034,53773,5845.8044691,0,82,4,False,c,9FH04
74,8214,14,0,1,13,139961,0,21670,118291,16210.6741718,2,83,4,False,c,9FH04
75,4039,1,0,1,0,89945,22209,18996,48740,6772.93622897,0,78,4,False,s,9FH04
76,27342,1,0,1,0,251397,20125,41650,189622,14014.5059463,3,79,4,False,s,9FH04
77,2451,2,0,0,2,49552,0,4360,45192,4413.36865467,0,80,4,False,n,9FH04
78,10874,0,0,0,0,72130,0,6625,65505,14375.568153,4,81,4,False,n,9FH04
79,1366,2,0,0,2,26819,0,3763,23056,2477.47939072,0,24,7,False,e,1MW2207
80,4864,1,0,0,1,390950,0,388065,2885,5212.77296348,4,25,7,False,e,1MW2207
81,43690,0,0,0,0,124152,0,63345,60807,4851.9992262,0,20,7,False,c,1MW2207
82,109988,0,0,0,0,407862,0,7886,399976,9719.22066442,1,21,7,False,c,1MW2207
83,104260,0,0,0,0,-1465998580242,-1465998719565,9264,130059,5407.51398293,0,18,7,False,s,1MW2207
84,330737,0,0,0,0,353020,1104,351916,0,10058.2459562,2,19,7,False,s,1MW2207
85,7926,0,0,0,0,18939,0,15155,3784,3300.17578444,0,22,7,False,n,1MW2207
86,6015,3,0,2,1,307415,0,304835,2580,8180.85050592,3,23,7,False,n,1MW2207
87,37311,2,0,2,0,83183,0,29994,53189,4153.36190626,0,92,6,False,e,12FRH06
88,203533,0,0,0,0,242981,34392,207893,696,4767.99878361,1,93,6,False,e,12FRH06
