,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId
16,2,59.25,44.11,0.41,1.55,42.15,0.00929494445704,0.0351394241669,0.955565631376,0.190952380952,0.205,0.19375,0.1907239819,231,2,8,3.89873417722,221,151.702424594,0.0,75.3598154117,143.082192504,0.0658260869565,0.0,0.0433333333333,0.065023255814,2,0.5,262.335881451,5,0,40,21,False,e,3MW2421
17,13,261.74,200.78,12.2,17.74,170.84,0.0607630242056,0.0883554138858,0.850881561909,0.205506653019,0.29756097561,0.199325842697,0.201700118064,977,41,89,3.73271185146,847,140.844687958,66.0765626006,84.3624035042,132.50096252,0.0624590163934,0.0377272727273,0.0422413793103,0.0577463054187,19,0.95,396.957872864,13,3,41,21,False,e,3MW2421
18,3,118.3,69.74,1.02,7.45,61.27,0.0146257527961,0.106825351305,0.878548895899,0.159588100686,0.0728571428571,0.140566037736,0.165594594595,437,14,53,3.69399830938,370,159.628599468,75.6818129385,159.375276895,138.203123831,0.111376146789,0.2125,0.129655172414,0.0844476744186,11,2.75,410.256611545,5,0,34,21,False,c,3MW2421
19,12,296.36,235.68,7.15,13.23,215.3,0.0303377460964,0.0561354378819,0.913526816022,0.209493333333,0.2234375,0.213387096774,0.208826382153,1125,32,62,3.79605884735,1031,150.408685057,56.6202625721,101.600044069,140.180090403,0.0539857651246,0.0372727272727,0.0430303030303,0.0512951807229,21,1.05,404.187779455,9,4,35,21,False,c,3MW2421
20,6,40.77,31.49,4.07,6.27,21.15,0.129247380121,0.199110828835,0.671641791045,0.203161290323,0.2035,0.19,0.207352941176,155,20,33,3.80181506009,102,147.762316978,209.40039588,131.443207086,129.522464307,0.0602597402597,0.057,0.0573684210526,0.0632978723404,12,3.0,364.798499081,4,0,38,21,False,s,3MW2421
21,16,352.33,275.67,7.23,30.63,237.81,0.0262270105561,0.111111111111,0.862661878333,0.217576953433,0.212647058824,0.225220588235,0.21678213309,1267,34,136,3.59606051145,1097,132.717455913,145.32317491,119.15304239,123.795337881,0.0605529225908,0.0530769230769,0.0691860465116,0.0563152896486,25,1.25,380.567872221,11,1,39,21,False,s,3MW2421
22,0,37.37,29.37,0.0,1.4,27.97,0.0,0.0476676881171,0.952332311883,0.202551724138,0.0,0.28,0.199785714286,145,0,5,3.8801177415,140,155.672614323,0.0,68.1253052832,151.712242161,0.0555555555556,0.0,0.04,0.0555555555556,0,0.0,,4,0,36,21,False,n,3MW2421
23,0,320.74,260.42,0.0,4.36,256.06,0.0,0.0167421857,0.9832578143,0.220694915254,0.0,0.218,0.22074137931,1180,0,20,3.67899233024,1160,128.758147969,0.0,145.388280599,127.60427823,0.0511620016964,0.0,0.05,0.0508041958042,0,0.0,,11,2,37,21,False,n,3MW2421
24,5,101.688,84.348,3.732,13.572,67.044,0.0442452695974,0.160904822877,0.794849907526,0.298049469965,0.3732,0.308454545455,0.292768558952,283,10,44,2.78302257887,229,177.946577466,131.438722451,184.411434957,149.262791191,0.0614893617021,0.12,0.07296,0.0542884615385,7,1.75,548.600444385,4,0,198,22,False,e,22F
25,16,887.88,707.34,54.708,76.764,575.868,0.0773432861142,0.10852489609,0.814131817796,0.238241832267,0.333585365854,0.304619047619,0.225565217391,2969,164,252,3.3439203496,2553,119.462811086,85.2229727273,80.1104471746,109.926592247,0.0608288409704,0.054976744186,0.0461470588235,0.0503466447098,35,1.75,466.948289064,13,3,199,22,False,e,22F
26,4,213.66,169.62,3.552,14.076,151.992,0.0209409267775,0.0829854969933,0.896073576229,0.208891625616,0.2368,0.276,0.203742627346,812,15,51,3.80043059066,746,128.327149723,81.2346358042,160.416008985,116.952236746,0.0543033292232,0.0384,0.113142857143,0.0505464632455,10,2.5,435.476321578,4,0,194,22,False,c,22F
27,21,817.32,658.692,48.912,50.688,559.092,0.074256253302,0.0769525058753,0.848791240823,0.219930550918,0.315561290323,0.242526315789,0.212501710376,2995,155,209,3.66441540645,2631,122.325161595,71.4705913171,76.437362353,109.291484593,0.0529819639279,0.0749387755102,0.0462260869565,0.0491003134796,68,3.4,541.853742795,9,4,195,22,False,c,22F
28,5,20.748,17.136,1.992,5.436,9.708,0.116246498599,0.317226890756,0.566526610644,0.238,0.221333333333,0.201333333333,0.269666666667,72,9,27,3.47021399653,36,184.382881589,121.437576962,215.885079693,114.97142033,0.0508732394366,0.04,0.0552,0.0447692307692,6,1.5,417.738457969,4,0,200,22,False,s,22F
29,19,609.348,493.332,37.656,50.892,404.784,0.0763299360269,0.10315973827,0.820510325704,0.223025316456,0.283127819549,0.241194312796,0.21669379015,2212,133,211,3.63010955973,1868,124.873693706,112.587028538,148.633875418,107.782257647,0.0524721845319,0.0468131868132,0.0766567164179,0.0475125208681,52,2.6,407.613989889,12,1,201,22,False,s,22F
30,0,146.184,120.84,0.0,3.216,117.624,0.0,0.0266137040715,0.973386295929,0.231938579655,0.0,0.2144,0.232458498024,521,0,15,3.56400153232,506,121.932679399,0.0,68.0873160024,119.08490464,0.0487384615385,0.0,0.0408,0.0478545454545,0,0.0,,4,0,196,22,False,n,22F
31,0,778.728,624.828,0.0,19.74,605.088,0.0,0.0315926943095,0.968407305691,0.224758273381,0.0,0.243703703704,0.224189699889,2780,0,81,3.56992428679,2699,117.790214943,0.0,107.569994587,115.678829321,0.0553796329615,0.0,0.0578571428571,0.0547599243856,0,0.0,,11,2,197,22,False,n,22F
32,4,52.344,41.904,2.352,9.108,30.444,0.0561282932417,0.21735395189,0.726517754868,0.329952755906,0.196,0.325285714286,0.349931034483,127,12,28,2.42625706862,87,203.491949473,112.849520219,169.075103411,137.483586157,0.0828571428571,0.0408,0.058,0.0547397260274,9,2.25,442.898178224,5,0,115,23,False,e,14JG23
33,14,362.364,271.26,17.76,24.36,229.14,0.0654722406547,0.089803140898,0.844724618447,0.195151079137,0.227692307692,0.232,0.189842584921,1390,78,105,3.8359218907,1207,143.762590215,75.912585766,109.237685508,131.349963076,0.0655896328294,0.0670188679245,0.0504347826087,0.059250641574,25,1.25,454.626291439,12,3,116,23,False,e,14JG23
34,8,69.3,54.672,6.312,10.98,37.38,0.11545215101,0.200834064969,0.683713784021,0.200263736264,0.242769230769,0.215294117647,0.190714285714,273,26,51,3.93939393939,196,182.125562267,86.8782477299,131.823040718,144.836125263,0.0537794117647,0.0381818181818,0.0434482758621,0.0502372881356,18,4.5,544.489096312,4,0,121,23,False,c,14JG23
35,6,85.128,65.676,10.38,5.376,49.92,0.158048602229,0.0818563858944,0.760095011876,0.198416918429,0.247142857143,0.168,0.194241245136,331,42,32,3.88826238136,257,156.507178081,86.7907198465,159.043247235,139.618531866,0.0589454545455,0.0405517241379,0.0472,0.0501,16,0.8,463.202308581,3,4,122,23,False,c,14JG23
36,7,134.856,106.368,13.404,14.46,78.504,0.12601534296,0.135943140794,0.738041516245,0.193045372051,0.262823529412,0.200833333333,0.183420560748,551,51,72,4.08583971051,428,143.115459654,122.785535396,98.3234700959,139.048209609,0.0517963636364,0.0563076923077,0.056487804878,0.0499459459459,30,7.5,315.450416558,4,0,117,23,False,s,14JG23
37,20,369.168,288.096,41.652,35.34,211.104,0.144576807731,0.122667444185,0.732755748084,0.201324947589,0.297514285714,0.199661016949,0.189500897666,1431,140,177,3.87628396827,1114,142.449758713,92.9118545112,137.124095287,134.980817539,0.0566937062937,0.059067961165,0.0799,0.0513327120224,47,2.35,337.936583384,11,1,118,23,False,s,14JG23
38,0,94.476,75.852,0.0,1.224,74.628,0.0,0.016136687233,0.983863312767,0.21306741573,0.0,0.204,0.213222857143,356,0,6,3.76815275837,350,139.124897437,0.0,244.810091505,135.238908959,0.052461971831,0.0,0.06,0.0511395348837,0,0.0,,4,0,119,23,False,n,14JG23
39,0,334.74,268.104,0.0,18.156,249.948,0.0,0.0677199892579,0.932280010742,0.204191926885,0.0,0.221414634146,0.203044679123,1313,0,82,3.92244727251,1231,122.062958637,0.0,81.9922723248,123.053558357,0.0507896341463,0.0,0.043,0.0503277591973,0,0.0,,11,2,120,23,False,n,14JG23
40,6,223.704,163.02,5.292,34.464,123.264,0.0324622745675,0.211409642989,0.756128082444,0.222098092643,0.240545454545,0.226736842105,0.220114285714,734,22,152,3.28112148196,560,203.279531906,121.703990382,230.789849811,155.363506651,0.0827885402456,0.0445714285714,0.123673469388,0.0606810176125,16,4.0,473.0861516,4,0,0,1,False,e,1MQ2201
41,3,335.916,266.88,2.664,11.544,252.672,0.00998201438849,0.0432553956835,0.946762589928,0.218217497956,0.296,0.1776,0.219906005222,1223,9,65,3.64079115017,1149,154.578631634,68.3843151682,91.3917519343,143.100469117,0.0564942716858,0.042,0.052,0.0562635379061,5,0.25,422.517069545,12,1,1,1,False,e,1MQ2201
42,2,118.968,89.952,0.636,7.092,82.224,0.0070704375667,0.0788420490928,0.91408751334,0.212150943396,0.212,0.208588235294,0.212465116279,424,3,34,3.56398359223,387,181.022849772,0.0,185.565408716,154.732184625,0.0685957446809,0.0,0.0996,0.0543891891892,3,0.75,525.646801506,4,0,2,1,False,c,1MQ2201
43,10,424.032,339.144,6.096,29.16,303.888,0.0179746656288,0.0859811761376,0.896044158234,0.23118200409,0.468923076923,0.331363636364,0.222465592972,1467,13,88,3.45964455513,1366,148.479824439,76.065865169,90.5380033826,138.702562103,0.0579045020464,0.036,0.0482553191489,0.0537505668934,11,0.55,500.010482825,10,2,3,1,False,c,1MQ2201
44,17,425.568,336.0,45.06,42.216,248.724,0.134107142857,0.125642857143,0.74025,0.216774193548,0.292597402597,0.225754010695,0.205727047146,1550,154,187,3.64219114219,1209,147.15732709,109.080606209,121.492322279,143.211594042,0.057823111685,0.0469743589744,0.07008,0.0549793814433,50,2.5,326.121320127,13,3,4,1,False,s,1MQ2201
