,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
10,5,54.432,43.668,3.12,5.988,34.56,0.07144820005496015,0.13712558395163507,0.7914262159934049,0.2347741935483871,0.24000000000000002,0.24950000000000003,0.23194630872483224,186,13,24,3.4171075837742504,149,183.3384348435099,56.22378433585976,54.07839470588474,145.8499233279591,0.05818378378378378,0.039,0.0852,0.050364963503649635,9,2.25,447.9300253130347,4,0,159,20,False,c,21MDC20,0.5,1,1,0.25,1,1,1,1,4,2,17,1,,0.375,,0,159,20,False,c,21MDC20,2533,0,0,0,0,54660,0,4473,50187,6329.638927894828,0,159,20,False,c,21MDC20
11,8,433.74,328.992,7.752,13.104,308.136,0.02356288298803618,0.039830755763058064,0.9366063612489057,0.22533698630136986,0.2349090909090909,0.1955820895522388,0.22657058823529413,1460,33,67,3.3660718402729746,1360,129.19719834613238,78.91685115310591,76.7336932954763,117.08286945050341,0.0717943797121316,0.0378,0.039,0.06646504559270516,13,0.65,453.62201338048243,12,3,160,20,False,c,21MDC20,0.75,3,3,0.25,1,4,3,1,4,2,17,1,0.25,0.375,0.375,3,160,20,False,c,21MDC20,284439,0,0,0,0,430214,0,30684,399530,7779.003238252201,3,160,20,False,c,21MDC20
12,2,98.7,78.78,1.08,7.98,69.72,0.01370906321401371,0.1012947448591013,0.884996191926885,0.23238938053097347,0.21600000000000003,0.2574193548387097,0.2300990099009901,339,5,31,3.4346504559270516,303,185.58842819570012,107.11684778699043,638.1887189354292,140.06918409351198,0.058934911242603555,0.048,0.07885714285714286,0.0553006993006993,3,0.75,1086.6458834474001,4,0,155,20,False,s,21MDC20,0.5,2,2,0.375,2,3,3,1,4,4,14,3,,0.25,,0,155,20,False,s,21MDC20,75935,1,0,0,1,-1474293280295,0,100182,-1474293380477,12364.18229226342,0,155,20,False,s,21MDC20
13,11,379.812,307.656,2.736,13.212,291.708,0.00889304937982682,0.04294406739995319,0.94816288322022,0.2235872093023256,0.1824,0.20018181818181818,0.22525714285714288,1376,15,66,3.6228449864669887,1295,138.80239368942728,234.3814250292897,243.2687965034455,123.03704464183815,0.05247709090909091,0.06857142857142857,0.057729729729729735,0.0513596214511041,12,0.6,523.6843176674015,8,4,156,20,False,s,21MDC20,0.375,2,2,0.375,1,3,2,1,4,4,14,3,0.375,0.25,0.25,4,156,20,False,s,21MDC20,300345,2,1,1,0,-1474293277375,-1474293656814,361231,18208,17734.793082467637,4,156,20,False,s,21MDC20
14,0,77.88,61.884,0.0,4.128,57.756,0.0,0.06670544890440179,0.9332945510955982,0.2266813186813187,0.0,0.258,0.22473151750972764,273,0,16,3.5053929121725735,257,168.66216314256923,0.0,319.33216232093156,142.39940772384261,0.05880882352941177,0.0,0.054,0.05752226720647773,0,0.0,,4,0,157,20,False,n,21MDC20,0.25,2,2,0.625,2,3,3,1,1,7,12,2,,0.125,,0,157,20,False,n,21MDC20,48159,1,0,0,1,-1474294169546,0,72048,-1474294241594,11562.813950464011,0,157,20,False,n,21MDC20
15,0,418.86,334.464,0.0,3.888,330.576,0.0,0.011624569460390356,0.9883754305396097,0.2289281314168378,0.0,0.20463157894736841,0.22924826629681,1461,0,19,3.488038962899298,1442,125.28115034389948,0.0,302.8623878976668,119.61099608619818,0.057805479452054796,0.0,0.052,0.05758315789473684,0,0.0,,11,1,158,20,False,n,21MDC20,0.625,4,2,0.625,2,4,4,2,1,7,12,2,0.625,0.125,0.125,1,158,20,False,n,21MDC20,29360,1,0,0,1,-1474293989419,0,244359,-1474294233778,16672.645918061782,1,158,20,False,n,21MDC20
16,2,59.25,44.11,0.41,1.55,42.15,0.00929494445703922,0.03513942416685559,0.9555656313761052,0.19095238095238096,0.205,0.19375,0.19072398190045248,231,2,8,3.8987341772151898,221,151.70242459412677,0.0,75.35981541167025,143.08219250447527,0.06582608695652174,0.0,0.043333333333333335,0.06502325581395349,2,0.5,262.3358814506521,5,0,40,21,False,e,3MW2421,0.5,2,1,0.125,1,11,2,1,13,5,18,1,,0.5,,0,40,21,False,e,3MW2421,1878,1,0,0,1,60760,0,687,60073,2168.8409974051606,0,40,21,False,e,3MW2421
17,13,261.74,200.78,12.2,17.74,170.84,0.06076302420559816,0.0883554138858452,0.8508815619085567,0.2055066530194473,0.2975609756097561,0.1993258426966292,0.20170011806375443,977,41,89,3.732711851455643,847,140.84468795762018,66.07656260062979,84.36240350417452,132.500962519898,0.062459016393442625,0.03772727272727273,0.04224137931034483,0.05774630541871921,19,0.95,396.957872863515,13,3,41,21,False,e,3MW2421,0.625,11,1,0.125,1,11,4,1,13,5,18,1,0.125,0.5,0.5,3,41,21,False,e,3MW2421,6464,1,0,0,1,262437,0,109447,152990,6167.115947220661,3,41,21,False,e,3MW2421
18,3,118.3,69.74,1.02,7.45,61.27,0.014625752796099801,0.10682535130484658,0.8785488958990537,0.15958810068649884,0.07285714285714286,0.14056603773584905,0.1655945945945946,437,14,53,3.6939983093829247,370,159.62859946807308,75.68181293851502,159.3752768950053,138.20312383135607,0.11137614678899083,0.2125,0.1296551724137931,0.08444767441860465,11,2.75,410.2566115446904,5,0,34,21,False,c,3MW2421,0.5,4,7,0.75,6,11,5,1,8,12,14,2,,0.375,,0,34,21,False,c,3MW2421,43946,0,0,0,0,119692,0,8302,111390,7062.827400197482,0,34,21,False,c,3MW2421
19,12,296.36,235.68,7.15,13.23,215.3,0.030337746096401903,0.05613543788187373,0.9135268160217244,0.20949333333333334,0.2234375,0.21338709677419357,0.20882638215324928,1125,32,62,3.79605884734782,1031,150.40868505716307,56.620262572114854,101.60004406898979,140.18009040309252,0.05398576512455516,0.03727272727272727,0.04303030303030303,0.05129518072289157,21,1.05,404.1877794546186,9,4,35,21,False,c,3MW2421,0.75,10,1,0.75,3,11,8,1,8,12,14,2,0.75,0.375,0.375,4,35,21,False,c,3MW2421,10115,1,0,0,1,298543,0,6079,292464,6629.610186538703,4,35,21,False,c,3MW2421
