userId,type,country,orderNumber,experimentNumber,training, x,y,mouseClick,scrolling,inText,timestamp,contentType,content
5MS3205,n,4,5,55,False,546,490,0,0,1,21,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3815,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3832,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3850,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3868,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3884,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3903,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3920,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3937,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3955,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3969,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,3988,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4006,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4023,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4036,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4055,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4070,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4088,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4104,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4122,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4138,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4156,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4172,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4190,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4206,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4223,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4241,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4257,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4275,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4291,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4308,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4326,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4342,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4359,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4377,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4394,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4427,text,para_2
5MS3205,n,4,5,55,False,546,490,0,0,1,4445,text,para_2
5MS3205,n,4,5,55,False,546,523,0,1,1,71820,text,para_2
5MS3205,n,4,5,55,False,546,523,0,0,1,71916,text,para_2
5MS3205,n,4,5,55,False,546,556,0,1,1,83889,text,para_2
5MS3205,n,4,5,55,False,546,589,0,1,1,83975,text,para_2
5MS3205,n,4,5,55,False,546,623,0,1,1,84040,text,para_2
5MS3205,n,4,5,55,False,546,623,0,0,1,84141,text,para_2
5MS3205,n,4,5,55,False,546,656,0,1,1,84773,text,para_2
5MS3205,n,4,5,55,False,546,689,0,1,1,84815,text,para_2
5MS3205,n,4,5,55,False,546,723,0,1,1,84863,text,para_2
5MS3205,n,4,5,55,False,546,756,0,1,1,84956,text,para_2
5MS3205,n,4,5,55,False,546,756,0,0,1,85057,text,para_2
5MS3205,n,4,5,55,False,546,789,0,1,1,85723,text,para_2
5MS3205,n,4,5,55,False,546,823,0,1,1,85756,text,para_2
5MS3205,n,4,5,55,False,546,856,0,1,1,85791,text,para_2
5MS3205,n,4,5,55,False,546,889,0,1,1,85831,text,para_2
5MS3205,n,4,5,55,False,546,923,0,1,1,85889,text,para_2
5MS3205,n,4,5,55,False,546,923,0,0,1,85990,text,para_2
5MS3205,n,4,5,55,False,546,956,0,1,1,86247,none,none
5MS3205,n,4,5,55,False,546,989,0,1,1,86279,none,none
5MS3205,n,4,5,55,False,546,1023,0,1,1,86311,text,para_3
5MS3205,n,4,5,55,False,546,1056,0,1,1,86343,text,para_3
5MS3205,n,4,5,55,False,546,1089,0,1,1,86391,text,para_3
5MS3205,n,4,5,55,False,546,1089,0,0,1,86492,text,para_3
5MS3205,n,4,5,55,False,546,1123,0,1,1,122444,text,para_3
5MS3205,n,4,5,55,False,546,1123,0,0,1,122545,text,para_3
5MS3205,n,4,5,55,False,546,1156,0,1,1,122599,text,para_3
5MS3205,n,4,5,55,False,546,1189,0,1,1,122655,text,para_3
5MS3205,n,4,5,55,False,546,1223,0,1,1,122702,text,para_3
5MS3205,n,4,5,55,False,546,1256,0,1,1,122735,text,para_3
5MS3205,n,4,5,55,False,546,1289,0,1,1,122766,text,para_3
5MS3205,n,4,5,55,False,546,1323,0,1,1,122815,text,para_3
5MS3205,n,4,5,55,False,546,1323,0,0,1,122915,text,para_3
5MS3205,n,4,5,55,False,546,1356,0,1,1,123246,text,para_3
5MS3205,n,4,5,55,False,546,1389,0,1,1,123303,text,para_3
5MS3205,n,4,5,55,False,546,1423,0,1,1,123350,none,none
5MS3205,n,4,5,55,False,546,1456,0,1,1,123399,none,none
5MS3205,n,4,5,55,False,546,1489,0,1,1,123471,text,para_4
5MS3205,n,4,5,55,False,546,1489,0,0,1,123571,text,para_4
5MS3205,n,4,5,55,False,546,1523,0,1,1,124060,text,para_4
5MS3205,n,4,5,55,False,546,1556,0,1,1,124127,text,para_4
5MS3205,n,4,5,55,False,546,1589,0,1,1,124175,text,para_4
5MS3205,n,4,5,55,False,546,1623,0,1,1,124243,text,para_4
5MS3205,n,4,5,55,False,546,1623,0,0,1,124344,text,para_4
5MS3205,n,4,5,55,False,546,1656,0,1,1,171307,text,para_4
5MS3205,n,4,5,55,False,546,1656,0,0,1,171407,text,para_4
